[ INFO] 2017-08-10 13:53:05,018 [] [] FTP server started
[ INFO] 2017-08-10 13:55:28,044 [] [] FTP server started
[ INFO] 2017-08-10 13:55:43,046 [] [] FTP server started
[ INFO] 2017-08-10 14:00:14,437 [] [10.10.10.10] CREATED
[ INFO] 2017-08-10 14:00:14,540 [] [10.10.10.10] OPENED
[ INFO] 2017-08-10 14:00:14,559 [] [10.10.10.10] SENT: 220 Service ready for new user.

[ INFO] 2017-08-10 14:00:36,486 [] [10.10.10.10] RECEIVED: USER
[ INFO] 2017-08-10 14:00:36,502 [] [10.10.10.10] SENT: 501 Syntax error in parameters or arguments.

[ INFO] 2017-08-10 14:00:36,502 [] [10.10.10.10] CLOSED
[ INFO] 2017-08-10 14:00:51,112 [] [10.10.10.10] CREATED
[ INFO] 2017-08-10 14:00:51,112 [] [10.10.10.10] OPENED
[ INFO] 2017-08-10 14:00:51,112 [] [10.10.10.10] SENT: 220 Service ready for new user.

[ INFO] 2017-08-10 14:00:52,964 [] [10.10.10.10] RECEIVED: USER 123
[ INFO] 2017-08-10 14:00:52,964 [123] [10.10.10.10] SENT: 331 User name okay, need password for 123.

[ INFO] 2017-08-10 14:00:54,621 [123] [10.10.10.10] RECEIVED: PASS *****
[ WARN] 2017-08-10 14:00:54,621 [123] [10.10.10.10] User failed to log in
[ WARN] 2017-08-10 14:00:55,124 [123] [10.10.10.10] Login failure - 123
[ INFO] 2017-08-10 14:00:55,124 [123] [10.10.10.10] SENT: 530 Authentication failed.

[ INFO] 2017-08-10 14:00:55,255 [123] [10.10.10.10] CLOSED
[ INFO] 2017-08-10 14:01:03,840 [] [10.10.10.10] CREATED
[ INFO] 2017-08-10 14:01:03,840 [] [10.10.10.10] OPENED
[ INFO] 2017-08-10 14:01:03,840 [] [10.10.10.10] SENT: 220 Service ready for new user.

[ INFO] 2017-08-10 14:01:06,302 [] [10.10.10.10] RECEIVED: USER 123
[ INFO] 2017-08-10 14:01:06,302 [123] [10.10.10.10] SENT: 331 User name okay, need password for 123.

[ INFO] 2017-08-10 14:01:12,567 [123] [10.10.10.10] RECEIVED: PASS *****
[ WARN] 2017-08-10 14:01:12,567 [123] [10.10.10.10] User failed to log in
[ WARN] 2017-08-10 14:01:13,068 [123] [10.10.10.10] Login failure - 123
